pixels,widths,hights
25896,156,166
10465,91,115
3726,46,81
13940,85,164
33615,135,249
26386,158,167
9856,88,112
3772,46,82
13855,85,163
7896,84,94
6570,73,90
20066,127,158
26553,159,167
11685,95,123
3645,45,81
6586,74,89
22836,132,173
26720,160,167
3726,46,81
9798,71,138
7084,77,92
23760,132,180
27054,162,167
8505,81,105
3772,46,82
9864,72,137
7584,79,96
24605,133,185
27054,162,167
7878,78,101
3854,47,82
10725,75,143
7900,79,100
24497,131,187
27054,162,167
8343,81,103
3854,47,82
12080,80,151
7979,79,101
22940,124,185
26404,161,164
8424,81,104
3854,47,82
12710,82,155
7600,76,100
19264,112,172
26404,161,164
10738,91,118
3854,47,82
13932,86,162
7524,76,99
18094,109,166
26404,161,164
3901,47,83
13020,84,155
7425,75,99
17115,105,163
26082,161,162
3984,48,83
12948,83,156
6510,70,93
14938,97,154
12432,84,148
7636,83,92
7350,75,98
16072,98,164
14260,92,155
7326,74,99
15908,97,164
19560,120,163
3901,47,83
15936,96,166
17864,116,154
4018,49,82
15960,95,168
18960,120,158
3854,47,82
7575,75,101
15438,93,166
17402,113,154
3818,46,83
7474,74,101
15865,95,167
16837,113,149
3772,46,82
7622,74,103
16587,97,171
17784,117,152
3564,44,81
7100,71,100
16856,98,172
18088,119,152
16758,98,171
19220,124,155
10507,79,133
18029,121,149
7636,83,92
8232,84,98
14758,94,157
18327,123,149
6072,66,92
15360,96,160
18774,126,149
6693,69,97
10692,81,132
14740,110,134
7000,70,100
8136,72,113
15180,110,138
7313,71,103
6600,66,100
15707,113,139
6045,65,93
15368,113,136
4332,57,76
16779,119,141
24167,143,169
26700,150,178
26075,149,175
7544,82,92
7968,83,96
26892,162,166
27874,154,181
26400,160,165
22218,138,161
26070,158,165
20615,133,155
25740,156,165
18963,129,147
25575,155,165
17907,127,141
24776,152,163
19140,132,145
24462,151,162
18060,129,140
24300,150,162
18340,131,140
10700,100,107
24764,151,164
18886,133,142
2698,38,71
22464,144,156
19728,137,144
3157,41,77
7544,82,92
7614,81,94
22176,144,154
21158,142,149
3526,43,82
7884,73,108
22922,146,157
22765,145,157
3784,44,86
7560,70,108
23373,147,159
24255,147,165
3828,44,87
7236,67,108
22765,145,157
3828,44,87
7169,67,107
23373,147,159
3784,44,86
6720,64,105
23373,147,159
25137,147,171
3740,44,85
6890,65,106
23828,148,161
23520,140,168
3696,44,84
6552,63,104
24138,149,162
3696,44,84
6720,64,105
22464,144,156
23153,137,169
3696,44,84
6448,62,104
22464,144,156
22378,134,167
10920,104,105
7544,82,92
7520,80,94
6283,61,103
22022,143,154
20160,126,160
11664,108,108
6386,62,103
23214,146,159
20790,126,165
3956,46,86
12769,113,113
6656,64,104
23373,147,159
20336,124,164
3956,46,86
12995,113,115
6968,67,104
22910,145,158
19440,120,162
3910,46,85
7072,68,104
22608,144,157
18328,116,158
3910,46,85
7176,69,104
22608,144,157
18285,115,159
3864,46,84
7210,70,103
22464,144,156
17472,112,156
3864,46,84
7313,71,103
22464,144,156
17670,114,155
7416,72,103
22022,143,154
18369,117,157
21726,142,153
19080,120,159
7371,81,91
7695,81,95
21432,141,152
19276,122,158
22022,143,154
19311,123,157
22922,146,157
19939,127,157
23384,148,158
19812,127,156
19152,126,152
18476,124,149
7950,75,106
18352,124,148
7980,76,105
18375,125,147
8162,77,106
18250,125,146
